product_key,product_no,product_description,product_category,abc_class,store_count,critical_items,high_risk_items,excess_stock_items,inventory_value_at_risk,risk_items
880,PROD-160898,PROD-137060 SEG-508385 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,12,1,4,2,240.24,5
345,PROD-145916,PROD-174380 SEG-517032 Femme Footwear Trailblazer Zephyr,Femme Footwear Trailblazer,A,35,0,3,8,240.24,3
1283,PROD-168643,PROD-187459 SEG-520099 Scholar Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,17,0,5,3,235.0,5
1786,PROD-175313,PROD-113756 SEG-502494 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,28,11,3,3,233.15,14
1914,PROD-176337,PROD-111483 SEG-502269 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,1,6,3,227.7,7
1852,PROD-175761,PROD-114003 SEG-502512 Femme Footwear Retro Legend Summit,Femme Footwear Retro Legend,A,15,0,2,0,222.64,2
2168,PROD-183509,PROD-112527 SEG-502382 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,37,0,4,0,222.64,4
1854,PROD-175763,PROD-113994 SEG-502512 Femme Footwear Retro Legend Summit,Femme Footwear Retro Legend,A,15,1,3,0,222.64,4
2219,PROD-184562,PROD-114119 SEG-502518 Femme Footwear Retro Legend Summit,Femme Footwear Retro Legend,A,40,1,3,0,222.64,4
1571,PROD-170520,PROD-179884 SEG-518117 Scholar Footwear Trailblazer Swift Run,Scholar Footwear Trailblazer,A,40,0,5,3,217.8,5
71,PROD-105451,PROD-138055 SEG-508657 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,3,1,213.99,3
1555,PROD-170373,PROD-111909 SEG-502319 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,21,0,3,1,212.52,3
247,PROD-139508,PROD-118201 SEG-503268 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,B,20,0,3,2,210.20999999999998,3
1194,PROD-167641,PROD-149328 SEG-511442 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,0,4,2,209.28,4
279,PROD-140873,PROD-100416 SEG-500063 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,0,4,2,202.4,4
2178,PROD-183547,PROD-138279 SEG-508703 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,7,3,1,196.4,10
259,PROD-139833,PROD-138302 SEG-508706 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,5,3,13,196.16,8
300,PROD-142516,PROD-139424 SEG-508939 Scholar Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,18,0,4,2,188.0,4
2311,PROD-193603,PROD-112675 SEG-502397 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,2,5,4,182.16,7
2309,PROD-193601,PROD-112673 SEG-502397 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,3,3,182.16,3
1844,PROD-175426,PROD-112098 SEG-502337 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,4,8,182.16,4
1823,PROD-175392,PROD-112420 SEG-502372 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,3,5,182.16,3
1824,PROD-175393,PROD-112418 SEG-502372 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,3,182.16,2
1821,PROD-175390,PROD-112417 SEG-502372 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,3,3,182.16,3
1512,PROD-170045,PROD-173719 SEG-516943 Scholar Footwear Hardcourt Zephyr,Scholar Footwear Hardcourt,A,19,0,2,7,182.16,2
87,PROD-110208,PROD-124806 SEG-505212 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,13,1,1,0,181.32,2
2147,PROD-183451,PROD-114074 SEG-502516 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,23,1,0,180.54999999999995,24
729,PROD-159591,PROD-174056 SEG-516987 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,39,0,4,11,180.16,4
30,PROD-100454,PROD-100830 SEG-500112 Heritage Footwear Flight Classic Zephyr,Femme Footwear Flight Classic,A,40,0,3,12,175.78,3
1568,PROD-170517,PROD-179881 SEG-518117 Scholar Footwear Trailblazer Swift Run,Scholar Footwear Trailblazer,A,40,0,4,7,174.24,4
1270,PROD-168539,PROD-187338 SEG-520074 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,19,7,3,2,173.92,10
1264,PROD-168533,PROD-187332 SEG-520073 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,17,8,3,3,173.66,11
160,PROD-124434,PROD-154329 SEG-512711 Femme Footwear Trailblazer Zephyr,Femme Footwear Trailblazer,A,40,0,2,17,172.04,2
159,PROD-124433,PROD-154328 SEG-512711 Femme Footwear Trailblazer Zephyr,Femme Footwear Trailblazer,A,40,0,2,16,172.04,2
163,PROD-124437,PROD-154332 SEG-512711 Femme Footwear Trailblazer Zephyr,Femme Footwear Trailblazer,A,40,0,2,15,172.03,2
164,PROD-124438,PROD-154322 SEG-512711 Femme Footwear Trailblazer Zephyr,Femme Footwear Trailblazer,A,40,0,2,13,171.99,2
2165,PROD-183505,PROD-112522 SEG-502382 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,36,0,3,1,166.98,3
1399,PROD-169262,PROD-112793 SEG-502409 Heritage Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,3,5,166.98,3
1788,PROD-175315,PROD-114252 SEG-502531 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,0,2,1,166.98,2
1791,PROD-175318,PROD-114256 SEG-502531 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,1,3,2,166.98,4
2166,PROD-183507,PROD-112525 SEG-502382 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,36,0,3,1,166.98,3
2176,PROD-183545,PROD-138276 SEG-508703 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,11,3,0,165.73,14
2046,PROD-179242,PROD-148783 SEG-511385 Femme Footwear Trailblazer Equilibrium,Femme Footwear Trailblazer,B,23,0,2,0,165.0,2
2010,PROD-179176,PROD-148922 SEG-511402 Femme Footwear Trailblazer Equilibrium,Femme Footwear Trailblazer,A,40,0,3,5,165.0,3
1753,PROD-173389,PROD-150862 SEG-511852 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,B,21,1,4,2,163.8,5
11,PROD-100358,PROD-164494 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear Court Casual,A,40,19,3,9,163.43,22
1537,PROD-170322,PROD-113875 SEG-502503 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,2,3,4,161.92,5
1535,PROD-170320,PROD-113873 SEG-502503 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,0,2,5,161.92,2
1543,PROD-170328,PROD-114246 SEG-502530 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,34,1,3,4,161.92,4
1544,PROD-170329,PROD-114245 SEG-502530 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,35,0,2,0,161.92,2
268,PROD-139866,PROD-100448 SEG-500065 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,21,3,6,160.72,24
91,PROD-112027,PROD-103291 SEG-500450 Toddler Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,18,9,4,1,159.52,13
2228,PROD-184803,PROD-152336 SEG-512271 Scholar Footwear Trailblazer Zephyr,Scholar Footwear Trailblazer,A,40,7,2,1,159.10999999999999,9
873,PROD-160886,PROD-162668 SEG-514978 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,34,26,1,0,157.86,27
2157,PROD-183475,PROD-114407 SEG-502543 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,1,2,0,156.86,3
2155,PROD-183473,PROD-114402 SEG-502543 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,0,2,3,156.86,2
2156,PROD-183474,PROD-114400 SEG-502543 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,1,2,1,156.86,3
2162,PROD-183484,PROD-114648 SEG-502564 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,17,0,2,0,156.86,2
1380,PROD-168880,PROD-148704 SEG-511376 Femme Footwear Trailblazer Equilibrium,Femme Footwear Trailblazer,A,40,5,2,8,155.14999999999998,7
1920,PROD-176343,PROD-152437 SEG-512297 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,1,4,2,154.82999999999998,5
1919,PROD-176342,PROD-152438 SEG-512297 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,1,3,4,154.82999999999998,4
531,PROD-153625,PROD-148815 SEG-511388 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,29,17,3,1,154.44,20
272,PROD-140866,PROD-100434 SEG-500064 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,5,3,12,152.18,8
282,PROD-140876,PROD-100419 SEG-500063 Scholar Footwear Boot Collection Woodland,Scholar Footwear Boot Collection,A,40,1,4,14,151.8,5
1134,PROD-166167,PROD-148940 SEG-511404 Femme Footwear Trailblazer Equilibrium,Femme Footwear Trailblazer,A,40,1,3,4,150.14999999999998,4
861,PROD-160869,PROD-162732 SEG-514981 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,31,0,2,8,150.14,2
1985,PROD-178980,PROD-115006 SEG-502616 Toddler Footwear Trailblazer Varied,Scholar Footwear Trailblazer,A,40,0,2,1,148.76,2
2179,PROD-183548,PROD-138277 SEG-508703 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,9,1,2,146.89,10
1095,PROD-165978,PROD-148984 SEG-511408 Newborn Footwear Trailblazer Varied,Scholar Footwear Trailblazer,B,15,0,4,3,145.6,4
110,PROD-118965,PROD-138467 SEG-508729 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,4,1,5,144.65,5
210,PROD-138113,PROD-189914 SEG-520647 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,18,0,2,2,141.0,2
299,PROD-142515,PROD-139423 SEG-508939 Scholar Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,17,0,3,4,141.0,3
209,PROD-138112,PROD-189913 SEG-520647 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,17,1,2,0,140.99,3
248,PROD-139509,PROD-118199 SEG-503268 Scholar Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,22,0,2,2,140.14,2
61,PROD-103737,PROD-152510 SEG-512312 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,0,3,1,139.64999999999998,3
60,PROD-103736,PROD-152511 SEG-512312 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,0,3,1,139.64999999999998,3
2135,PROD-181891,PROD-152294 SEG-512268 Scholar Footwear Trailblazer Zephyr,Scholar Footwear Trailblazer,A,40,11,2,5,139.39999999999998,13
215,PROD-138118,PROD-189891 SEG-520643 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,17,10,2,1,139.13,12
2,PROD-100044,PROD-189473 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,16,2,2,0,137.44,4
1501,PROD-170028,PROD-152589 SEG-512318 Scholar Footwear Court Casual Zephyr,Scholar Footwear Court Casual,A,40,1,4,9,136.62,5
2169,PROD-183523,PROD-111953 SEG-502325 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,B,40,0,3,0,136.62,3
884,PROD-161011,PROD-173799 SEG-516952 Scholar Footwear Flight Classic Zephyr,Scholar Footwear Flight Classic,A,40,1,4,9,135.12,5
761,PROD-159701,PROD-154004 SEG-512642 Scholar Footwear Trailblazer Zephyr,Scholar Footwear Trailblazer,A,39,24,3,2,134.99,27
1284,PROD-168644,PROD-187460 SEG-520099 Scholar Footwear Boot Collection Plushfoot,Scholar Footwear Boot Collection,A,18,3,5,2,133.95,8
1870,PROD-175942,PROD-153427 SEG-512517 Femme Footwear Court Casual Zephyr,Femme Footwear Court Casual,A,40,0,2,1,131.56,2
1570,PROD-170519,PROD-179883 SEG-518117 Scholar Footwear Trailblazer Swift Run,Scholar Footwear Trailblazer,A,40,0,3,11,130.68,3
1560,PROD-170509,PROD-179932 SEG-518120 Scholar Footwear Trailblazer Swift Run,Scholar Footwear Trailblazer,A,40,0,3,3,130.68,3
1569,PROD-170518,PROD-179882 SEG-518117 Scholar Footwear Trailblazer Swift Run,Scholar Footwear Trailblazer,A,40,1,4,12,130.68,5
2222,PROD-184615,PROD-179917 SEG-518119 Scholar Footwear Trailblazer Swift Run,Scholar Footwear Trailblazer,B,15,1,4,2,130.68,5
261,PROD-139835,PROD-138303 SEG-508706 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,12,2,10,129.33,14
258,PROD-139832,PROD-138299 SEG-508706 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,6,2,12,128.96,8
2173,PROD-183539,PROD-138258 SEG-508702 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,4,2,0,128.41,6
496,PROD-152434,PROD-171774 SEG-516576 Scholar Footwear Hardcourt Zephyr,Scholar Footwear Hardcourt,A,38,28,1,3,127.37,29
384,PROD-147351,PROD-122510 SEG-504591 Scholar Footwear Court Casual Trident,Scholar Footwear Court Casual,A,38,3,3,12,126.48,6
1752,PROD-173388,PROD-150861 SEG-511852 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,B,20,0,3,1,122.85000000000001,3
260,PROD-139834,PROD-138301 SEG-508706 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,6,2,14,121.74,8
1818,PROD-175387,PROD-112410 SEG-502372 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,B,40,0,2,0,121.44,2
1817,PROD-175378,PROD-113201 SEG-502444 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,0,2,3,121.44,2
2313,PROD-193605,PROD-112676 SEG-502397 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,3,121.44,2
1829,PROD-175401,PROD-112494 SEG-502380 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,1,121.44,2
438,PROD-152028,PROD-166155 SEG-515579 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,22,1,3,10,120.12,4
253,PROD-139797,PROD-166102 SEG-515573 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,35,0,2,2,120.12,2
449,PROD-152060,PROD-166080 SEG-515569 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,B,39,0,2,6,120.12,2
80,PROD-106602,PROD-100688 SEG-500095 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,28,0,2,6,118.3,2
1275,PROD-168545,PROD-187360 SEG-520078 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,20,6,2,1,117.53,8
1272,PROD-168541,PROD-187334 SEG-520074 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,19,5,2,5,117.22999999999999,7
8,PROD-100355,PROD-164491 SEG-515310 Femme Footwear Court Casual Zephyr,Femme Footwear Court Casual,A,40,20,2,12,117.17999999999999,22
1271,PROD-168540,PROD-187339 SEG-520074 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,17,4,2,8,117.02,6
25,PROD-100449,PROD-100825 SEG-500112 Heritage Footwear Flight Classic Zephyr,Femme Footwear Flight Classic,A,40,2,2,24,116.53,4
1939,PROD-176510,PROD-114712 SEG-502575 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,5,116.38,2
1938,PROD-176506,PROD-114709 SEG-502575 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,B,40,0,2,4,116.38,2
26,PROD-100450,PROD-100826 SEG-500112 Heritage Footwear Flight Classic Zephyr,Femme Footwear Flight Classic,A,40,3,2,24,116.34,5
28,PROD-100452,PROD-100828 SEG-500112 Heritage Footwear Flight Classic Zephyr,Femme Footwear Flight Classic,A,40,3,2,15,116.05,5
1265,PROD-168534,PROD-187333 SEG-520073 Femme Footwear Boot Collection Plushfoot,Femme Footwear Boot Collection,A,18,9,2,2,115.15,11
507,PROD-152539,PROD-174095 SEG-516991 Femme Footwear Court Casual Zephyr,Femme Footwear Court Casual,B,27,17,2,1,114.98,19
132,PROD-121535,PROD-102951 SEG-500406 Scholar Footwear Court Casual Trident,Scholar Footwear Court Casual,A,40,6,3,20,114.91000000000001,9
131,PROD-121534,PROD-102950 SEG-500406 Scholar Footwear Court Casual Trident,Scholar Footwear Court Casual,A,40,7,3,19,114.50999999999999,10
138,PROD-123291,PROD-102559 SEG-500349 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,29,1,3,114.48,30
1209,PROD-167818,PROD-114501 SEG-502552 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,1,3,6,111.32,4
1835,PROD-175410,PROD-112476 SEG-502376 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,8,111.32,2
1851,PROD-175760,PROD-114002 SEG-502512 Femme Footwear Retro Legend Summit,Femme Footwear Retro Legend,A,15,0,1,2,111.32,1
1834,PROD-175409,PROD-112472 SEG-502376 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,1,111.32,2
1205,PROD-167814,PROD-114498 SEG-502552 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,4,111.32,2
1853,PROD-175762,PROD-114004 SEG-502512 Femme Footwear Retro Legend Summit,Femme Footwear Retro Legend,A,15,1,2,1,111.32,3
1849,PROD-175758,PROD-114000 SEG-502512 Femme Footwear Retro Legend Summit,Femme Footwear Retro Legend,A,15,0,1,0,111.32,1
1396,PROD-169259,PROD-112788 SEG-502409 Heritage Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,7,111.32,2
1206,PROD-167815,PROD-114497 SEG-502552 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,14,111.32,2
1208,PROD-167817,PROD-114499 SEG-502552 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,11,111.32,2
1833,PROD-175408,PROD-112474 SEG-502376 Scholar Footwear Modern Legend Summit,Scholar Footwear Modern Legend,A,40,0,2,6,111.32,2
1097,PROD-165980,PROD-148986 SEG-511408 Newborn Footwear Trailblazer Varied,Scholar Footwear Trailblazer,B,16,0,3,2,109.19999999999999,3
1094,PROD-165973,PROD-149004 SEG-511409 Newborn Footwear Trailblazer Varied,Scholar Footwear Trailblazer,B,13,0,3,2,109.19999999999999,3
267,PROD-139865,PROD-100447 SEG-500065 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,21,2,4,106.69000000000001,23
1163,PROD-166366,PROD-102544 SEG-500347 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,21,2,7,104.72,23
1195,PROD-167642,PROD-149329 SEG-511442 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,0,2,3,104.64,2
1196,PROD-167643,PROD-149330 SEG-511442 Scholar Footwear Trailblazer Equilibrium,Scholar Footwear Trailblazer,A,40,0,2,7,104.64,2
2149,PROD-183453,PROD-114077 SEG-502516 Heritage Footwear Retro Legend Summit,Scholar Footwear Retro Legend,A,40,26,0,0,103.90000000000002,26
2070,PROD-181021,PROD-189222 SEG-520483 Femme Footwear Retro Legend Summit,Femme Footwear Retro Legend,B,19,1,1,0,103.73,2
